sender,subject,body,label
solicitor.chambers1@gmail.com,URGENT: Deceased Client Fund Release,"Dear Beneficiary, I am Barrister Joseph Nwosu, solicitor to a deceased client who died in a plane crash leaving unclaimed funds of USD$14.5 million united state dollars. As his next of kin beneficiary you will receive the wire transfer sum of 40% strictly confidential. Contact me immediately to act now.",1
claims@moneygram-intl-verify.web,"MoneyGram Claims Dept: Unclaimed $950,000.00","Dear Winner, Your email address won the MoneyGram 2026 promotion. To claim your ATM card with the sum of $950,000.00 you must confirm your identity within 24 hours. Send your full name and banking details immediately. This is strictly confidential.",1
secure-alerts@account-support-centre.info,Account Security Alert: Unusual Activity,"Dear Customer, We detected unusual activity on your account. Your account has been suspended. To restore access, verify your account within 24 hours by clicking the link below: http://203.0.113.42:8080/login Failure to verify will result in permanent account closure.",1
centralbank.fx.govdept@yandex.com,CBN Foreign Partner Payment,"DEAR FRIEND, I am Dr. Emeka Obi, Director of foreign remittance at Central Bank. A dead client deposited the sum of $12.5 million dollars and you are the designated beneficiary as next of kin. This business proposal is 100% risk-free and strictly confidential. I need a foreign partner immediately.",1
noreply@securepay-verify.top,Payment Verification Required,"Dear User, Update your payment information to avoid closure. We detected unauthorized access and unusual sign-in on your account. Confirm your identity now: http://x7k2m9q4p1.click/verify This is your final notice.",1
info@pharma-deals-online.top,80% Discount Male Enhancement Pills,"Best price on male enhancement reviews pills and viagra. Online pharmacy with no prescription required, cheap meds delivered worldwide. Special offer discount 80% click below to buy. Limited supply so act now and order replica watches too. 100% free shipping.",1
admin@euro-tax-portal.biz,Outstanding Invoice INV-2026-0842 Attached,"Dear Sir/Madam, Please find attached the outstanding invoice INV-2026-0842. Kindly process the wire transfer payment before the due date. Portal login to view your invoice: http://203.0.113.42:8080/invoice/view Finance Department",1
lottery.claims@inbox.lv,"CONGRATULATIONS! You Have Won the 2,500,000 Prize","Dear Winner, Congratulations! You have won the International Lottery 2026 draw. To claim your winnings send your bank details immediately. Claims must be processed within 24 hours or funds revert to the orphanage fund. Yours faithfully, Dr. Adams lottery coordinator.",1
security@xn--paypa1-secure-alerts.com,PayPal Security Alert: Verify Now,"Dear Customer, We detected unusual activity on your PayPal account and unusual sign-in attempts. Your account has been suspended. Restore access now at http://bit.ly/3xSecureVerify and update your payment details to avoid closure.",1
support@trusted-courier-delivery.info,Your Package AWB7729 Is On Hold,"Dear Client, Your package containing an ATM card with $2.7 million united state dollars from your deceased relative inheritance is on hold at customs. Pay the release fee by wire transfer immediately. Contact the delivery director, strictly confidential.",1
noreply@github.com,New release published (#v2.1.0),"Hi @analyst, A new release was published for example/example: v2.1.0. You can review the changelog in the repository at your convenience. Thanks, The GitHub team",0
newsletter@rust-lang.org,This Week in Rust 612,"Hello Rustaceans, here is this week's edition of This Week in Rust. New releases, crate updates, and community project highlights. Read it on the web or reply to this email with corrections.",0
calendar-notification@google.com,Notification: Weekly project sync,"Reminder: Weekly project sync tomorrow at 10:00 AM in the calendar invite. Agenda items: pipeline metrics, release review, open action items.",0
billing@stripe.com,Your Stripe receipt from Acme Corp,"Hi, thanks for your purchase. Your receipt is attached as a PDF. You can view your billing history any time from your dashboard. Questions about this charge? Reply to this email or contact support.",0
no-reply@linkedin.com,You appeared in 9 searches this week,"Hi, you appeared in 9 searches this week. See who's interested in your profile and expand your professional network with Premium.",0
updates@stackoverflow.com,Your weekly digest,"Your weekly digest is ready. Top questions in tags you follow: python, email-parsing, django. Read answers and upvote the best responses from the community.",0
noreply@msteams.com,Scheduled: Sprint retrospective,"Your meeting Sprint retrospective was scheduled for Friday 3 PM. The team will review the sprint backlog, demo completed items, and plan the next cycle.",0
finance@university.edu,Tuition statement for Fall term,"Dear student, your tuition statement for the Fall term is now available in the student portal. Please review your account balance and payment plan options before the semester starts.",0
receipts@localbookshop.example,Your order #31827 has shipped,"Hello, your order #31827 (2 items) has shipped and should arrive in 3-5 business days. Track your parcel with the link in your account's order history page.",0
team@opensource-project.dev,Thanks for your contribution!,"Hi, thanks for your pull request to the documentation rewrite. The maintainers will review it this week. You can follow the review discussion in the issue tracker thread.",0
